Team Name,Team City,Competition Level,Gender Division,lat,lon
Rougaroux,Baton Rouge,Club,Men,30.4459596,-91.18738
Donuts,Bay Area,Club,Mixed,37.7884969,-122.3558473
FAB,Bay Area,Club,Women,37.7884969,-122.3558473
Nightlock,Bay Area,Club,Women,37.7884969,-122.3558473
Tempo,Bay Area,Club,Women,37.7884969,-122.3558473
Premium,Beaumont,Club,Men,30.0860459,-94.1018461
Bomb Squad,Bel Air ,Club,Men,34.0827278,-118.4479802
BamWagon,Bellevue,Club,Mixed,47.6144219,-122.1923372
BamWagon,Bellevue,Club,Men,47.6144219,-122.1923372
Ham,Bellingham,Club,Men,48.7544012,-122.4788361
Lovebomb,Ben Avon,Club,Mixed,40.5081241,-80.0831114
Igneous Ultimate,Bend,Club,Mixed,44.0581728,-121.3153096
DR,Berkeley,Club,Mixed,37.8708393,-122.2728639
Gulls,Berkeley,Club,Men,37.8708393,-122.2728639
Mimosas,Berkeley,Club,Mixed,37.8708393,-122.2728639
Polar Bears,Berkeley,Club,Mixed,37.8708393,-122.2728639
Watchdogs,Bethesda,Club,Men,38.9819845,-77.1242341
Path of Totality,Bethlehem ,Club,Men,40.6178915,-75.3786521
Ironmen,Birmingham,Club,Men,33.5206824,-86.8024326
Magic City Mayhem,Birmingham,Club,Mixed,33.5206824,-86.8024326
Steel,Birmingham,Club,Women,33.5206824,-86.8024326
War Machine,Birmingham,Club,Men,33.5206824,-86.8024326
Squirtle Squad,Bloomfield,Club,Mixed,40.7516884,-92.4149074
Los  Heros,Bloomington,Club,Mixed,39.1670396,-86.5342881
Los Beeros,Bloomington,Club,Men,39.1670396,-86.5342881
FIRE ULTIMATE CLUB,BOGOTA,Club,Mixed,40.8762106,-74.0298621
BoyShe,Boise,Club,Mixed,43.6166163,-116.200886
Sawtooth,Boise,Club,Men,43.6166163,-116.200886
CUS Bologna,Bologna,Club,Men,47.9873476,-90.8695002
Identity Crisis,Boone,Club,Mixed,42.321246,-88.8235511
BLADE,Boston,Club,Women,42.3602534,-71.0582912
BMN,Boston,Club,Women,42.3602534,-71.0582912
Boston Baked Beans,Boston,Club,Men,42.3602534,-71.0582912
Bruises,Boston,Club,Men,42.3602534,-71.0582912
Brute Squad,Boston,Club,Women,42.3602534,-71.0582912
Bud Light Lime,Boston,Club,Mixed,42.3602534,-71.0582912
BUDA,Boston,Club,Men,42.3602534,-71.0582912
BUDA,Boston,Club,Women,42.3602534,-71.0582912
Dig,Boston,Club,Men,42.3602534,-71.0582912
Drunk in Space,Boston,Club,Mixed,42.3602534,-71.0582912
Ironside,Boston,Club,Men,42.3602534,-71.0582912
League of Shadows,Boston,Club,Mixed,42.3602534,-71.0582912
License to Kilt,Boston,Club,Mixed,42.3602534,-71.0582912
Mixed Nuts,Boston,Club,Mixed,42.3602534,-71.0582912
PleasureTown,Boston,Club,Mixed,42.3602534,-71.0582912
Siege,Boston,Club,Women,42.3602534,-71.0582912
Slow White,Boston,Club,Mixed,42.3602534,-71.0582912
Slugfest,Boston,Club,Men,42.3602534,-71.0582912
TIRD,Boston,Club,Mixed,42.3602534,-71.0582912
Wild Card,Boston,Club,Mixed,42.3602534,-71.0582912
"All Jeeps, All Night",Boulder,Club,Mixed,40.0149856,-105.2705456
ISO Atmo,Boulder,Club,Men,40.0149856,-105.2705456
Jackwagon,Boulder,Club,Women,40.0149856,-105.2705456
Black Penguins Club,Bourbonnais,Club,Men,41.1639309,-87.8839693
Bozos,Bozeman,Club,Mixed,45.6794293,-111.044047
Disc Pics,Bozeman,Club,Mixed,45.6794293,-111.044047
