Team Name,Team City,lat,lon
CUS Bologna,Bologna,47.9873476,-90.8695002
Identity Crisis,Boone,42.321246,-88.8235511
BLADE,Boston,42.3602534,-71.0582912
BMN,Boston,42.3602534,-71.0582912
Boston Baked Beans,Boston,42.3602534,-71.0582912
Bruises,Boston,42.3602534,-71.0582912
Brute Squad,Boston,42.3602534,-71.0582912
Bud Light Lime,Boston,42.3602534,-71.0582912
BUDA,Boston,42.3602534,-71.0582912
BUDA,Boston,42.3602534,-71.0582912
Dig,Boston,42.3602534,-71.0582912
Drunk in Space,Boston,42.3602534,-71.0582912
Ironside,Boston,42.3602534,-71.0582912
League of Shadows,Boston,42.3602534,-71.0582912
License to Kilt,Boston,42.3602534,-71.0582912
Mixed Nuts,Boston,42.3602534,-71.0582912
PleasureTown,Boston,42.3602534,-71.0582912
Siege,Boston,42.3602534,-71.0582912
Slow White,Boston,42.3602534,-71.0582912
Slugfest,Boston,42.3602534,-71.0582912
TIRD,Boston,42.3602534,-71.0582912
Wild Card,Boston,42.3602534,-71.0582912
"All Jeeps, All Night",Boulder,40.0149856,-105.2705456
ISO Atmo,Boulder,40.0149856,-105.2705456
Jackwagon,Boulder,40.0149856,-105.2705456
Black Penguins Club,Bourbonnais,41.1639309,-87.8839693
Bozos,Bozeman,45.6794293,-111.044047
Disc Pics,Bozeman,45.6794293,-111.044047
Thanksgiving,Bozeman,45.6794293,-111.044047
Brooklyn Blues Club,Brooklyn,40.6501038,-73.9495823
Brooklyn Book Club,Brooklyn,40.6501038,-73.9495823
Fat and Mediocre,Brooklyn,40.6501038,-73.9495823
Grand Army,Brooklyn,40.6501038,-73.9495823
Chaos Theory,Brunswick,43.9145244,-69.9653278
Claos,Brunswick,43.9145244,-69.9653278
Clown,Brunswick,43.9145244,-69.9653278
Old Fat Clown,Brunswick,43.9145244,-69.9653278
Buffalo Lake Effect,Buffalo,42.8867166,-78.8783922
Buffalo Ultimate,Buffalo,42.8867166,-78.8783922
NEKUD,Burke,48.7882181,-102.5295867
Chuck Wagon,Burlington,44.4761601,-73.212906
Heartless,Burlington,44.4761601,-73.212906
Mutiny,Burlington,44.4761601,-73.212906
RUT,Burlington,44.4761601,-73.212906
SoCal Condors,Calico,35.6327332,-119.2064961
SHRed Line,Cambridge,42.3750997,-71.1056157
AND THE WARHAWKS,Cambridge,42.3750997,-71.1056157
Beach Wrench,Cambridge,42.3750997,-71.1056157
DTH,Cambridge,42.3750997,-71.1056157
FENOD & Friends,Cambridge,42.3750997,-71.1056157
Vice,Cambridge,42.3750997,-71.1056157
Party Bus,Canton,32.555664,-95.8640507
Nasty Girls,Champaign,40.1164205,-88.2433829
Prion,Champaign,40.1164205,-88.2433829
Carolina CottonMouth,Chapel Hill,35.9131542,-79.05578
First in Flight,Chapel Hill,35.9131542,-79.05578
Honey Bashfords,Chapel Hill,35.9131542,-79.05578
Rogue,Chapel Hill,35.9131542,-79.05578
Warhawks,Chapel Hill,35.9131542,-79.05578
Hoax,Charleston,32.7876012,-79.9402728
Holy City Heathens,Charleston,32.7876012,-79.9402728
BaNC,Charlotte,35.2272086,-80.8430827
Charlotte Storm,Charlotte,35.2272086,-80.8430827
ThunderCats,Charlotte,35.2272086,-80.8430827
Tyrannis,Charlottesville,38.029306,-78.4766781
Chattanooga Gentlemen's Club ,Chattanooga,35.0457219,-85.3094883
Honey Pot,Chattanooga,35.0457219,-85.3094883
Eastern Washington University ,Cheney,47.4873895,-117.5757676
Baemaker,Chicago,41.8755616,-87.6244212
Beachfront Property,Chicago,41.8755616,-87.6244212
Chicago Machine,Chicago,41.8755616,-87.6244212
Dish,Chicago,41.8755616,-87.6244212
Dish,Chicago,41.8755616,-87.6244212
ELevate,Chicago,41.8755616,-87.6244212
Frenzy,Chicago,41.8755616,-87.6244212
Haymaker,Chicago,41.8755616,-87.6244212
Helix,Chicago,41.8755616,-87.6244212
Helix,Chicago,41.8755616,-87.6244212
Jabba,Chicago,41.8755616,-87.6244212
Nemesis,Chicago,41.8755616,-87.6244212
Nemesis,Chicago,41.8755616,-87.6244212
Shakedown,Chicago,41.8755616,-87.6244212
South Shore Line,Chicago,41.8755616,-87.6244212
Stackcats,Chicago,41.8755616,-87.6244212
Taco Cat,Chicago,41.8755616,-87.6244212
UPA,Chicago,41.8755616,-87.6244212
Vortex,Chicago,41.8755616,-87.6244212
Tequila Mockingbird,Chicago,41.8755616,-87.6244212
Platypi,Chico,39.7284945,-121.8374777
Beachboat,Cincinnati,39.1014537,-84.5124602
Belle,Cincinnati,39.1014537,-84.5124602
Cincinnati Flying Piglet,Cincinnati,39.1014537,-84.5124602
Flying Pig,Cincinnati,39.1014537,-84.5124602
Goose Lee,Cincinnati,39.1014537,-84.5124602
Notorious P.I.G.,Cincinnati,39.1014537,-84.5124602
Schweingeist,Cincinnati,39.1014537,-84.5124602
Sparks,Cincinnati,39.1014537,-84.5124602
Sparks,Cincinnati,39.1014537,-84.5124602
Steamboat,Cincinnati,39.1014537,-84.5124602
Sureshot,Cincinnati,39.1014537,-84.5124602
Sureshot,Cincinnati,39.1014537,-84.5124602
The Boys,Cincinnati,39.1014537,-84.5124602
Transatlantic Danger Zone,CIncinnati,39.1014537,-84.5124602
Team Mexico,Ciudad de Mexico,36.7357179,-107.9923761
BRUH,Clemson,34.6850749,-82.8364111
Bighting Fogies,Cleveland,41.5051613,-81.6934446
Chimney,Cleveland,41.5051613,-81.6934446
CLE Smokestack,Cleveland,41.5051613,-81.6934446
North Coast Disc Co.,Cleveland,41.5051613,-81.6934446
Notorious C.L.E.,Cleveland,41.5051613,-81.6934446
Notorious C.L.E.,Cleveland,41.5051613,-81.6934446
Marxmen,Clifton,40.8584328,-74.1637553
MxD,College Park,38.980666,-76.9369189
Balloon,College Station,30.5955289,-96.3071042
Springs Mixed Ulty Team (SMUT),Colorado Springs,38.8339578,-104.8253485
Syndicate,Colorado Springs,38.8339578,-104.8253485
Barracuda ,Columbia,34.0007493,-81.0343313
Dream Team Frisbee,Columbia,34.0007493,-81.0343313
Free Ride,Columbia,34.0007493,-81.0343313
Heavy Flow,Columbia,34.0007493,-81.0343313
Warbird,Columbia,34.0007493,-81.0343313
Columbus Cocktails,Columbus,39.9622601,-83.0007065
CUDA Fall League,Columbus,39.9622601,-83.0007065
Low Five,Columbus,39.9622601,-83.0007065
Petey's Parrots,Columbus,39.9622601,-83.0007065
Petey's Pirates,Columbus,39.9622601,-83.0007065
Rival,Columbus,39.9622601,-83.0007065
Rival,Columbus,39.9622601,-83.0007065
CUFAX,Cranford,40.6584358,-74.2995923
Dallas United: Desperados,Dallas,32.7762719,-96.7968559
Dallas United: Neato Banditos,Dallas,32.7762719,-96.7968559
Dallas United: Outlaws,Dallas,32.7762719,-96.7968559
Maeve,Dallas,32.7762719,-96.7968559
Plex,Dallas,32.7762719,-96.7968559
Risky Business,Dallas,32.7762719,-96.7968559
Temptress,Dallas,32.7762719,-96.7968559
Tex Mix,Dallas,32.7762719,-96.7968559
Texas Swing,Dallas,32.7762719,-96.7968559
Texas Tango,Dallas,32.7762719,-96.7968559
Texas Two Step,Dallas,32.7762719,-96.7968559
Public Enemy,Dallas,32.7762719,-96.7968559
Inside Rakete,Darmstadt,38.0992098,-87.5789075
Crop That Top (Davidson),Davidson,35.4992614,-80.8485218
Green River Swordfish,Davis,40.7474784,-92.3965311
Enigma,Dayton,39.7589478,-84.1916069
Thunderpants the Magic Dragon,Dayton,39.7589478,-84.1916069
Los Penguinos,DC/Baltimore,39.0630277,-76.8374994
Colorado Cutthroat ,Denver,39.7392364,-104.9848623
Colorado Small Batch,Denver,39.7392364,-104.9848623
Daiquiri Dorks,Denver,39.7392364,-104.9848623
EDM,Denver,39.7392364,-104.9848623
Inception,Denver,39.7392364,-104.9848623
Johnny Bravo,Denver,39.7392364,-104.9848623
Johnny Encore,Denver,39.7392364,-104.9848623
Love Tractor,Denver,39.7392364,-104.9848623
Merry Band of Muffin Makers from the Land of Megastar,Denver,39.7392364,-104.9848623
Mesteño,Denver,39.7392364,-104.9848623
Sweet Action,Denver,39.7392364,-104.9848623
Colorado Cutthroat,Denver/Boulder,42.7506965,-109.7005117
Molly Brown,Denver/Boulder,42.7506965,-109.7005117
DeMo,Des Moines,41.5910323,-93.6046655
Wingdings,Des Moines,41.5910323,-93.6046655
Doppler Effect,Detroit,42.3315509,-83.0466403
DingWop,Duluth,46.7729322,-92.1251218
2016 New Year's Day Hat Tournament,Durham,35.996653,-78.9018053
Beezer Ultimate,Durham,35.996653,-78.9018053
Phoenix,Durham,35.996653,-78.9018053
Toro,Durham,35.996653,-78.9018053
Turbine,Durham,35.996653,-78.9018053
Dark Star,Eugene,44.0505054,-123.0950506
Flicky Stardust and the Cutters From Mars,Eugene,44.0505054,-123.0950506
Further,Eugene,44.0505054,-123.0950506
Midnight Whiskey,Eugene,44.0505054,-123.0950506
Rogue Grimace,Evanston,42.0447388,-87.6930459
Pocket City Approach,Evansville,37.9747645,-87.5558483
LORD,Fairfax,38.8462236,-77.3063733
Lord Fairfax,Fairfax,38.8462236,-77.3063733
Munch Box,Fairfax,38.8462236,-77.3063733
The Summer of George,Fairfax,38.8462236,-77.3063733
Alternative Stacks,Fairfield,38.2493581,-122.039966
Big Fish,Falmouth,38.6767366,-84.3304592
Nautilus,Farmington,44.6402434,-93.1435497
Dreadnought,Fayetteville,36.0625843,-94.1574328
rubber duck ultimate.,Fayetteville,36.0625843,-94.1574328
Monsoon Ultimate,Flagstaff,35.1987522,-111.6518229
Thundersnow,Flagstaff,35.1987522,-111.6518229
Bulldogs,Flint,43.0161693,-83.6900211
Florida United,Florida,27.7567667,-81.4639835
Flash Flood,Flower Mound,33.0283854,-97.0867203
Choice City Hops,Fort Collins,40.5508527,-105.0668085
Interesting Tummy Birds ,Fort Collins,40.5508527,-105.0668085
shame.,Fort Collins,40.5508527,-105.0668085
Trainwreck,Fort Collins,40.5508527,-105.0668085
Swipe >,Fossil Cove,30.560543,-97.738913
8 Bit Heroes,Frederick,39.4142186,-77.4109269
SPACE INVADERS,Fredericksburg,38.3031837,-77.4605399
Spawn,Fredericton,26.940428,-82.282582
Weird Ultimate,Gainesville,29.6519684,-82.3249846
High Level,Gainesville,29.6519684,-82.3249846
Tabby Rosa,Gainesville,29.6519684,-82.3249846
Vicious Cycle,Gainesville,29.6519684,-82.3249846
Woolly Mammoth,Gainesville,29.6519684,-82.3249846
Friend Zone,Gainesville ,29.6519684,-82.3249846
Snail,Geneseo,38.5161207,-98.1567235
Midnight Meat Train,Grand Rapids,42.9632405,-85.6678639
Toast,Grand Rapids,42.9632405,-85.6678639
Berkshire Ultimate Pickup 2017,Great Barrington,42.2103722,-73.3389121
Dirty D,Greater Detroit,42.33027,-83.0475557
Possum,Greenville,34.851354,-82.3984882
Slam,Greenville,34.851354,-82.3984882
Anchor ,Halifax,42.7822864,-72.7442976
Red Circus,Halifax,42.7822864,-72.7442976
Salty,Halifax,42.7822864,-72.7442976
Savage,Halifax,42.7822864,-72.7442976
The Collective,Halifax,42.7822864,-72.7442976
Bear Proof,Harrisburg,40.2663107,-76.8861122
Enough Monkeys,Hartford,41.7655582,-72.6906128
Big Donkey Ultimate,Haverford,40.0131672,-75.2943516
The Fighting Saints,Helena,46.5927425,-112.036277
The Bucket Brigade ,Hot Springs,34.5038393,-93.0552437
DTH,Houston,29.7589382,-95.3676974
Inferno,Houston,29.7589382,-95.3676974
Mud Turtles ,Houston,29.7589382,-95.3676974
No Tsu Oh,Houston,29.7589382,-95.3676974
Papa Bear,Houston,29.7589382,-95.3676974
tHUMP,Houston,29.7589382,-95.3676974
Freaks,Huntsville,34.729847,-86.5859011
Method,Huntsville,34.729847,-86.5859011
Rampage,Huntsville,34.729847,-86.5859011
Brickyard,Indianapolis,39.7683331,-86.1583502
INcognito,Indianapolis,39.7683331,-86.1583502
Indy Rogue,Indianapolis,39.7683331,-86.1583502
Indy Rogue,Indianapolis,39.7683331,-86.1583502
IUF Fall League 2017,Indianapolis,39.7683331,-86.1583502
Liquid Hustle,Indianapolis,39.7683331,-86.1583502
The Roofing Co.,Indianapolis ,39.7683331,-86.1583502
EuroStars,International,26.1082167,-98.2091001
Illusion,Iowa City,41.6612561,-91.5299106
MidRift,Iowa City,41.6612561,-91.5299106
panIC,Iowa City,41.6612561,-91.5299106
Townies,Ithaca,42.4396039,-76.4968019
Twonies,Ithaca,42.4396039,-76.4968019
Mississippi Blues,Jackson,32.2990384,-90.1847691
Bad Beaches,Jacksonville,30.3321838,-81.655651
Bold City,Jacksonville,30.3321838,-81.655651
CimaSalta,Jacksonville,30.3321838,-81.655651
Hammerhead,Jacksonville,30.3321838,-81.655651
The crew,Jacksonville,30.3321838,-81.655651
The Hucking Dead,Jacksonville,30.3321838,-81.655651
The Squad,Jacksonville,30.3321838,-81.655651
Double Dash,Jamaica Plain,42.3098201,-71.1203299
Blitzkrieg,Kansas City,39.100105,-94.5781416
KC SmokeStack,Kansas City,39.100105,-94.5781416
Prairie Fire,Kansas City,39.100105,-94.5781416
Wicked,Kansas City,39.100105,-94.5781416
Team Rocket ,Katonah,41.25877,-73.6853852
houSE,Kenosha,42.5846773,-87.8212263
Local 613,Kingston,41.9287812,-74.0023702
PPF,Kitchener-Waterloo,42.49276,-92.34296
Crash,Kitchener-Waterloo,42.49276,-92.34296
MaverNads,Kitchener-Waterloo,42.49276,-92.34296
Crush,Knoxville,35.9603948,-83.9210261
Mixed Results,Knoxville,35.9603948,-83.9210261
Voodoo,Knoxville,35.9603948,-83.9210261
Distelfink,Lancaster,40.03813,-76.3056686
Fear and Loathing,Las Vegas,36.1672559,-115.1485163
Upper Valley Ultimate,Lebanon,40.3429683,-76.4233816
Bates Orange Whip,Lewiston,46.4195913,-117.0216144
Cold Front,Lewiston,46.4195913,-117.0216144
Gargantuan Spider Dragons,Lewiston,46.4195913,-117.0216144
Black Lung,Lexington,38.0464066,-84.4970393
Mixed Pi,Lexington,38.0464066,-84.4970393
Moonshine,Lexington,38.0464066,-84.4970393
Solar Eclipse,Lexington,38.0464066,-84.4970393
Mixed on the Rock,Little Rock,34.7464809,-92.2895948
